,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
358,Zbrodnia,Łódź,Tkalnia Zagadek,2-5 osób,60 minut,Kryminalny,początkujący,59 opinii,Polska: 357. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
359,Seksmisja,Kraków,ExitRoom ™,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,29 opinii,Polska: 359. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
360,Sekretny gabinet Al'a Capone,Kraków,SCARY HOSTEL KRAKÓW,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,112 opinii,Polska: 360. miejsce,7 .6,"Obsługa:
9,2/10","Klimat:
8,5/10","Trudność wg. graczy:
Średni",Od 16 lat,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
361,Sherlock Holmes,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,5 opinii,Polska: 361. miejsce,8 .2,"Obsługa:
8,8/10","Klimat:
9,2/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
362,Piraci,Wrocław,Trapped,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,141 opinii,Polska: 362. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
363,Orion 53 - Space Challenge,Białystok,Logic Games - Escape Room Białystok,2-5 osób,60 minut,Przygodowy,doświadczony,16 opinii,Polska: 363. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
364,Pokój Zagadka,Warszawa,Dom Zagadek,2-8 osób,60 minut,Abstrakcyjny,początkujący,59 opinii,Polska: 364. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,angielski,polski,NAN,NAN
365,Killer,Kraków,ExitRoom ™,2-5 osób,60 minut,Kryminalny,początkujący,22 opinie,Polska: 366. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
366,Zakład Karny,Wrocław,LetMeOut,2-5 osób,60 minut,Przygodowy,na pierwszy raz,13 opinii,Polska: 365. miejsce,8 .3,"Obsługa:
9,2/10","Klimat:
8,3/10","Trudność wg. graczy:
Średni",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
367,Pokój agenta Snow,Gdynia,WALKOUT,2-6 osób,60 minut,Kryminalny,początkujący,119 opinii,Polska: 367. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
368,Klątwa Faraona,Białystok,Logic Games - Escape Room Białystok,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,21 opinii,Polska: 368. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
369,Espace Room,Jelenia Góra,King of the Lock,2-6 osób,75 minut,Przygodowy,śr. zaawansowani,4 opinie,Polska: 369. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
370,Psychiatryk,Wrocław,LetMeOut,2-5 osób,60 minut,Przygodowy,początkujący,35 opinii,Polska: 370. miejsce,6 .4,"Obsługa:
7,2/10","Klimat:
9,1/10","Trudność wg. graczy:
Średni",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
371,Świątynia Majów,Nowy Sącz,The Locked Room,2-5 osób,60 minut,Przygodowy,początkujący,31 opinii,Polska: 371. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
372,Chata Wiedźmy,Rzeszów,WydostanSie Escape Rooms,2-6 osób,60 minut,Fantasy,początkujący,44 opinie,Polska: 372. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
373,Tajemnicza Dżungla,Wrocław,Dom Zagadek Exitus,2-6 osób,45 minut,Dla dzieci,początkujący,3 opinie,Polska: 373. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
374,Amber Gold,Kraków,ExitRoom ™,2-5 osób,60 minut,Kryminalny,początkujący,15 opinii,Polska: 374. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
375,James Bond,Kraków,ExitRoom ™,2-5 osób,60 minut,Kryminalny,doświadczony,26 opinii,Polska: 375. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
376,Serce Roztocza,Zamość,Escape Room Zamość,2-6 osób,80 minut,Przygodowy,doświadczony,4 opinie,Polska: 376. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
377,Polana,Warszawa,Dom Zagadek,2-6 osób,60 minut,Przygodowy,na pierwszy raz,26 opinii,Polska: 377. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,angielski,polski,NAN,NAN
378,Psychoterapia,Kraków,LOST BAR,2-6 osób,70 minut,Fabularny,początkujący,16 opinii,Polska: 378. miejsce,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
379,Militarny Kryzys,Zamość,Escape Room Zamość,2-6 osób,80 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 379. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
380,Projekt Z.E.U.S.,Bielsko-Biała,Konsorcjum Czasu,1-6 osób,75 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 380. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
381,Saloon,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,20 opinii,Polska: 381. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
382,Misja A.V.A.T.A.R,Kraków,Locked UP,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 382. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
383,Rytuał,Kielce,Unlock the door,2-4 osoby,50 minut,Thriller,początkujący,2 opinie,Polska: 383. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
384,Poza Światem,Warszawa,Dom Zagadek,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,34 opinie,Polska: 384. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,angielski,polski,NAN,NAN
385,Czarna Perła,Gorzów Wielkopolski,Open The Lock,2-5 osób,60 minut,Przygodowy,na pierwszy raz,21 opinii,Polska: 385. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
386,P@ssWord,Warszawa,Dom Zagadek,2-6 osób,60 minut,Abstrakcyjny,początkujący,16 opinii,Polska: 386. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,angielski,polski,NAN,NAN
387,Klątwa Tutenchamona,Warszawa,Zagadkownia,2-6 osób,60 minut,Przygodowy,doświadczony,191 opinii,Polska: 387. miejsce,NAN,NAN,NAN,NAN,Przyjazny niepełnosprawnym,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
388,Gra Miejska - Illuminati,Poznań,Escapelandia,2-6 osób,180 minut,Fabularny,początkujący,6 opinii,Polska: 388. miejsce,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
389,Ostatnia cela,Słupsk,TrapRooms,2-8 osób,60 minut,Kryminalny,śr. zaawansowani,39 opinii,Polska: 389. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
390,Guantanamo,Gorzów Wielkopolski,Open The Lock,2-5 osób,60 minut,Kryminalny,doświadczony,18 opinii,Polska: 390. miejsce,NAN,NAN,NAN,NAN,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
391,Agent FBI,Warszawa,SHOW ESCAPE,2-4 osoby,60 minut,Kryminalny,doświadczony,7 opinii,Polska: 391. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
392,Piaski Pustyni,Konin,Next Level,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,3 opinie,Polska: 392. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
393,Leśne Trolle,Szczecin,Warsztatownia,2-6 osób,60 minut,Przygodowy,początkujący,8 opinii,Polska: 393. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
394,Przygody Indiana Jones,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,3-7 osób,60 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 394. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,angielski,polski,NAN,NAN
395,Skarby Majów,Poznań,Key To Be Free,2-8 osób,60 minut,Przygodowy,początkujący,106 opinii,Polska: 395. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
396,Opuszczona Piwnica,Gorzów Wielkopolski,Open The Lock,2-4 osoby,60 minut,Thriller,śr. zaawansowani,14 opinii,Polska: 396. miejsce,NAN,NAN,NAN,NAN,Od 18 lat,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
397,Kryptonim Dżungla,Opole,Escape Room Chata Zagadek,2-5 osób,60 minut,Przygodowy,na pierwszy raz,7 opinii,Polska: 397. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
398,Zielona Mila,Warszawa,SHOW ESCAPE,2-12 osób,60 minut,Przygodowy,doświadczony,9 opinii,Polska: 398. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
399,Redrum,Żory,Open The Lock,2-5 osób,60 minut,Horror,śr. zaawansowani,29 opinii,Polska: 399. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
400,Łowca Umysłów,Giżycko,Pokoje zagadek,2-5 osób,60 minut,Thriller,śr. zaawansowani,6 opinii,Polska: 400. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
401,Wolfenstein,Kraków,ExitRoom ™,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,59 opinii,Polska: 401. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
402,Mikołajowa Misja,Wisła,Zamek Zagadek,2-6 osób,60 minut,Przygodowy,na pierwszy raz,7 opinii,Polska: 402. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,angielski,czeski,polski,słowacki
403,Apartament,Łódź,Alfa Fun,2-4 osoby,60 minut,Przygodowy,początkujący,18 opinii,Polska: 403. miejsce,7 .3,"Obsługa:
9,6/10","Klimat:
7,8/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
404,Krypta wampira,Warszawa,Zagadkownia,2-5 osób,60 minut,Thriller,śr. zaawansowani,200 opinii,Polska: 404. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
405,S.O.S.,Iława,Open The Lock,2-5 osób,60 minut,Przygodowy,początkujący,6 opinii,Polska: 405. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
