,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,oceny,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat
192,Wiedźma i Albercik,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Fantasy,początkujący,11 opinii,Polska: 194. miejsce,"8 .7
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
11",0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
193,Klątwa Zbójów,Zakopane,LetMeOut,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,62 opinie,Polska: 195. miejsce,"8 .8
Obsługa:
9,4/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
62",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
194,Sala Przesłuchań,Gdańsk,Escape Time,2-4 osoby,60 minut,Thriller,eksperci,82 opinie,Polska: 196. miejsce,"8 .9
Obsługa:
9,5/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
82",0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1
195,Tajemnica 61. Kilometra,Gdańsk,Zorkout Escape Rooms,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,65 opinii,Polska: 197. miejsce,"8 .5
Obsługa:
8,9/10
Klimat:
9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
65",0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
196,Legendy Camelotu,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 198. miejsce,"8 .9
Obsługa:
10/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
197,Horror,Chorzów,ER 1871 Inny Wymiar,2-6 osób,70 minut,Horror,śr. zaawansowani,65 opinii,Polska: 199. miejsce,"8 .1
Obsługa:
8,9/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
65",0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
198,Gabinet Ignacego Łukasiewicza,Bielsko-Biała,Konsorcjum Czasu,1-4 osoby,60 minut,Historyczny,początkujący,31 opinii,Polska: 200. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9,4/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
199,Opętanie,Toruń,Dom Kłódek,2-8 osób,75 minut,Thriller,doświadczony,57 opinii,Polska: 201. miejsce,"8 .8
Obsługa:
9,8/10
Klimat:
9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
57",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0
200,Grobowiec Faraona,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,doświadczony,8 opinii,Polska: 203. miejsce,"9 .2
Obsługa:
9,4/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
8",0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
201,The Final Show,Gdańsk,Zorkout Escape Rooms,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,43 opinie,Polska: 202. miejsce,"8 .9
Obsługa:
9,4/10
Klimat:
9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
43",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0
202,Tajemnica starej kamienicy,Warszawa,Escape Room Majdańska 18 Warszawa,2-3 osoby,60 minut,Przygodowy,śr. zaawansowani,42 opinie,Polska: 205. miejsce,"8 .5
Obsługa:
9,8/10
Klimat:
8,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
203,Misja na Wschodzie,Szczyrk,Chata Tajemnic,3-8 osób,80 minut,Przygodowy,doświadczony,7 opinii,Polska: 204. miejsce,"8 .9
Obsługa:
10/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0
204,Kraina Wiecznej Nocy,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Przygodowy,początkujący,52 opinie,Polska: 206. miejsce,"8 .7
Obsługa:
9,8/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
52",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0
205,Cela nr 4,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Kryminalny,początkujący,318 opinii,Polska: 207. miejsce,"9 .3
Obsługa:
10/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
318",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0
206,Pionek i Kostka,Warszawa,OtoPokojeZagadek,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,86 opinii,Polska: 208. miejsce,"8 .9
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
86",0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0
207,Trójkąt Bermudzki,Toruń,Dom Kłódek,2-5 osób,60 minut,Przygodowy,początkujący,20 opinii,Polska: 209. miejsce,"8 .6
Obsługa:
9,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
20",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0
208,Interactive 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,38 opinii,Polska: 210. miejsce,"8 .6
Obsługa:
9,4/10
Klimat:
8,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
38",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0
209,Dżungla Azteków,Poznań,Malta Escape Room,2-5 osób,60 minut,Przygodowy,początkujący,41 opinii,Polska: 212. miejsce,"8 .7
Obsługa:
9,6/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
210,Plan na włam,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,228 opinii,Polska: 211. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
228",0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0
211,Nawiedzony Dwór,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Przygodowy,doświadczony,19 opinii,Polska: 213. miejsce,"8 .9
Obsługa:
9,7/10
Klimat:
9,4/10
Trudność wg. graczy:
Bardzo trudny
Ilość opinii:
19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
212,Plan A,Olsztyn,Profesor Escape Room Olsztyn,2-6 osób,60 minut,Fabularny,początkujący,16 opinii,Polska: 214. miejsce,"8 .7
Obsługa:
9,7/10
Klimat:
8,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
16",0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
213,Piwnica 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,25 opinii,Polska: 215. miejsce,"8 .5
Obsługa:
9,6/10
Klimat:
8,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
25",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
214,PostApo: Schron,Chorzów,ER 1871 Inny Wymiar,2-6 osób,90 minut,Fabularny,śr. zaawansowani,36 opinii,Polska: 216. miejsce,"8 .4
Obsługa:
9,4/10
Klimat:
8,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
36",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0
215,Misja Neffo,Łódź,Alfa Fun,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,12 opinii,Polska: 217. miejsce,"9 .0
Obsługa:
9,8/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
12",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0
216,Złoto Majów,Szczyrk,Chata Tajemnic,1-5 osób,70 minut,Przygodowy,doświadczony,10 opinii,Polska: 219. miejsce,"8 .6
Obsługa:
10/10
Klimat:
9,4/10
Trudność wg. graczy:
Trudny
Ilość opinii:
10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
217,Da Vinci,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,48 opinii,Polska: 218. miejsce,"8 .8
Obsługa:
9,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
48",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
218,"Misja ""Napoleon""",Gostyń,Muzeum Gostyń,2-5 osób,90 minut,Fabularny,śr. zaawansowani,21 opinii,Polska: 220. miejsce,"9 .7
Obsługa:
9,7/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
219,Kopalnia Diamentów,Sopot,Questrooms,2-4 osoby,70 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 221. miejsce,"9 .4
Obsługa:
9,7/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
8",0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0
220,Pokój laleczki Chucky,Kraków,SCARY HOSTEL KRAKÓW,2-5 osób,60 minut,Horror,początkujący,132 opinie,Polska: 222. miejsce,"8 .3
Obsługa:
9,7/10
Klimat:
8,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
132",0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0
221,Kraina Czarów,Wrocław,LetMeOut,2-5 osób,60 minut,Abstrakcyjny,początkujący,107 opinii,Polska: 223. miejsce,"8 .8
Obsługa:
9,2/10
Klimat:
9,2/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
107",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0
222,Frankenstein,Poznań,EXODUS,2-7 osób,60 minut,Przygodowy,śr. zaawansowani,166 opinii,Polska: 224. miejsce,"8 .4
Obsługa:
8,9/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
166",0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0
223,Hannibal,Piła,LOCKED Escape Room Piła,2-4 osoby,60 minut,Horror,śr. zaawansowani,16 opinii,Polska: 225. miejsce,"9 .6
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,Western Dziki Saloon,Poznań,Find a Way,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,21 opinii,Polska: 227. miejsce,"8 .2
Obsługa:
8,1/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
21",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0
225,Śmierć w Bractwie,Gdańsk,Questrooms,2-5 osób,60 minut,Fabularny,doświadczony,175 opinii,Polska: 228. miejsce,"8 .4
Obsługa:
9,6/10
Klimat:
8,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
175",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
226,Browar krasnoludzki,Katowice,Mystery Machinery,2-6 osób,75 minut,Fantasy,doświadczony,15 opinii,Polska: 229. miejsce,"8 .2
Obsługa:
9,1/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
15",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1
227,W krainie Trolli,Toruń,Dom Kłódek,2-5 osób,60 minut,Przygodowy,początkujący,34 opinie,Polska: 230. miejsce,"8 .3
Obsługa:
9,7/10
Klimat:
8,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
34",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0
228,Prison Escape,Wrocław,Exit19.pl,2-4 osoby,60 minut,Kryminalny,doświadczony,11 opinii,Polska: 231. miejsce,"8 .5
Obsługa:
9,5/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
11",0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
229,Mroczne Zamczysko - Egzekucja,Toruń,OPEN THE DOOR,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 232. miejsce,"9 .0
Obsługa:
9,9/10
Klimat:
9,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
11",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
230,Przeklęty Pierścień,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Przygodowy,początkujący,42 opinie,Polska: 234. miejsce,"8 .3
Obsługa:
9,5/10
Klimat:
9,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
42",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
231,Laboratorium Tesli,Katowice,Mystery Machinery,2-5 osób,60 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 233. miejsce,"9 .0
Obsługa:
9,4/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
4",0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1
232,Tajemnica Strefy 51,Toruń,Bunkier51,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 235. miejsce,"8 .6
Obsługa:
9,1/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
32",0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
233,Transport,Łódź,QUITZONE,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 236. miejsce,"9 .3
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
7",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
234,Muzeum 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 237. miejsce,"8 .6
Obsługa:
9,6/10
Klimat:
9,1/10
Trudność wg. graczy:
Średni
Ilość opinii:
25",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0
235,Kolekcjoner,Poznań,Time 4 Secrets,2-5 osób,60 minut,Thriller,śr. zaawansowani,750 opinii,Polska: 238. miejsce,"8 .0
Obsługa:
8,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
750",0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0
236,Vinci,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Fabularny,na pierwszy raz,57 opinii,Polska: 239. miejsce,"8 .8
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
57",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
237,Klątwa Czarnoksiężnika,Łódź,Drzwi Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,28 opinii,Polska: 241. miejsce,"9 .0
Obsługa:
9,4/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
28",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1
238,Fantazja,Wrocław,Piwnica Quest,2-5 osób,60 minut,Abstrakcyjny,początkujący,98 opinii,Polska: 240. miejsce,"8 .6
Obsługa:
9,7/10
Klimat:
8,3/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
98",0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0
239,Indiana 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,początkujący,28 opinii,Polska: 242. miejsce,"8 .5
Obsługa:
9/10
Klimat:
8,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
28",0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
240,Zaginiony Oficer,Poznań,The Bunkier Escape Rooms,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,184 opinie,Polska: 244. miejsce,"9 .0
Obsługa:
9,7/10
Klimat:
9,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
184",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0
241,Sherlock's Room,Katowice,Quest Cage,2-5 osób,60 minut,Kryminalny,początkujący,315 opinii,Polska: 243. miejsce,"8 .6
Obsługa:
9,7/10
Klimat:
9,2/10
Trudność wg. graczy:
Średni
Ilość opinii:
315",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
242,Baker Street,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Kryminalny,początkujący,98 opinii,Polska: 245. miejsce,"8 .7
Obsługa:
9,5/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
98",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
243,Oddział psychiatryczny,Gdynia,WALKOUT,2-6 osób,60 minut,Thriller,śr. zaawansowani,162 opinie,Polska: 246. miejsce,"9 .2
Obsługa:
9,5/10
Klimat:
9,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
162",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0
244,Zasypani,Szczecin,ESC Room,2-6 osób,60 minut,Przygodowy,początkujący,91 opinii,Polska: 247. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
91",0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
245,Apokalipsa,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Przygodowy,eksperci,21 opinii,Polska: 248. miejsce,"8 .6
Obsługa:
9,2/10
Klimat:
8,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0
246,Tajna Kwatera Dyktatora,Warszawa,8 Gates Escape Room,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,44 opinie,Polska: 249. miejsce,"8 .7
Obsługa:
9,6/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
44",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
247,Laboratorium strachu,Grudziądz,Find The Key,2-6 osób,60 minut,Thriller,doświadczony,92 opinie,Polska: 251. miejsce,"9 .8
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
92",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
248,Prosektorium,Katowice,LOFTescape,2-5 osób,60 minut,Thriller,początkujący,25 opinii,Polska: 250. miejsce,"8 .6
Obsługa:
10/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
25",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1
249,Okręt podwodny,Gdańsk,Podziemna pułapka,2-4 osoby,60 minut,Przygodowy,doświadczony,61 opinii,Polska: 252. miejsce,"9 .0
Obsługa:
9,6/10
Klimat:
9,1/10
Trudność wg. graczy:
Trudny
Ilość opinii:
61",0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1
250,Podróż,Warszawa,Dom Zagadek,2-8 osób,60 minut,Przygodowy,doświadczony,31 opinii,Polska: 253. miejsce,"8 .4
Obsługa:
9,2/10
Klimat:
8,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
31",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0
251,Alchemik,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,14 opinii,Polska: 226. miejsce,"8 .5
Obsługa:
10/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
14",0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
252,W odległej galaktyce,Bydgoszcz,Break The Brain,2-5 osób,75 minut,Przygodowy,doświadczony,244 opinie,Polska: 254. miejsce,"8 .2
Obsługa:
9,4/10
Klimat:
8,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
244",0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
253,Program Goździk,Poznań,The Bunkier Escape Rooms,2-4 osoby,90 minut,Thriller,początkujący,66 opinii,Polska: 255. miejsce,"8 .9
Obsługa:
9,9/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
66",0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1
254,Excalibur,Poznań,Key To Be Free,2-7 osób,60 minut,Przygodowy,początkujący,67 opinii,Polska: 256. miejsce,"8 .3
Obsługa:
9,9/10
Klimat:
9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
67",0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
255,Sherlock Holmes,Wrocław,LetMeOut,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,21 opinii,Polska: 257. miejsce,"8 .7
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
21",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
256,Kraina Czarów,Zakopane,LetMeOut,2-6 osób,60 minut,Abstrakcyjny,początkujący,81 opinii,Polska: 258. miejsce,"8 .5
Obsługa:
8,8/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
81",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
257,Nowa Odyseja Kosmiczna,Warszawa,Quest Hunt - Escape Room,2-7 osób,90 minut,Futurystyczny,doświadczony,3 opinie,Polska: 259. miejsce,"9 .0
Obsługa:
9,5/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
3",0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0
