,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,wazne1_1,wazne1_2,wazne1_3,wazne1_4,wazne1_5,wazne1_6,wazne1_7,wazne1_8,wazne1_9,wazne1_10,wazne1_11,wazne1_12,wazne1_13,wazne1_14,wazne1_15,wazne1_16,wazne1_17,wazne1_18,wazne1_19,wazne1_20,wazne2_1,wazne2_2,wazne2_3,wazne2_4,wazne2_5,wazne2_6,wazne2_7,wazne2_8,wazne2_9,wazne2_10,wazne2_11,wazne2_12,wazne2_13,wazne2_14,wazne2_15,wazne2_16,wazne2_17,wazne2_18,wazne2_19,wazne2_20,wazne3_1,wazne3_2,wazne3_3,wazne3_4,wazne3_5,wazne3_6,wazne3_7,wazne3_8,wazne3_9,wazne3_10,wazne3_11,wazne3_12,wazne3_13,wazne3_14,wazne3_15,wazne3_16,wazne3_17,wazne3_18,wazne3_19,wazne3_20,oceny
371,Świątynia Majów,Nowy Sącz,The Locked Room,2-5 osób,60 minut,Przygodowy,początkujący,31 opinii,Polska: 371. miejsce,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .1
Obsługa:
9,2/10
Klimat:
7,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
31"
372,Chata Wiedźmy,Rzeszów,WydostanSie Escape Rooms,2-6 osób,60 minut,Fantasy,początkujący,44 opinie,Polska: 372. miejsce,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"5 .7
Obsługa:
9/10
Klimat:
5,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
44"
373,Tajemnicza Dżungla,Wrocław,Dom Zagadek Exitus,2-6 osób,45 minut,Dla dzieci,początkujący,3 opinie,Polska: 373. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"10
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
3"
374,Amber Gold,Kraków,ExitRoom ™,2-5 osób,60 minut,Kryminalny,początkujący,15 opinii,Polska: 374. miejsce,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"6 .8
Obsługa:
9/10
Klimat:
6,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
15"
375,James Bond,Kraków,ExitRoom ™,2-5 osób,60 minut,Kryminalny,doświadczony,26 opinii,Polska: 375. miejsce,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"5 .7
Obsługa:
8,1/10
Klimat:
4,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
26"
376,Serce Roztocza,Zamość,Escape Room Zamość,2-6 osób,80 minut,Przygodowy,doświadczony,4 opinie,Polska: 376. miejsce,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .3
Obsługa:
10/10
Klimat:
9,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
4"
377,Polana,Warszawa,Dom Zagadek,2-6 osób,60 minut,Przygodowy,na pierwszy raz,26 opinii,Polska: 377. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .1
Obsługa:
8,7/10
Klimat:
7,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
26"
378,Psychoterapia,Kraków,LOST BAR,2-6 osób,70 minut,Fabularny,początkujący,16 opinii,Polska: 378. miejsce,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"3 .6
Obsługa:
4,1/10
Klimat:
3,3/10
Trudność wg. graczy:
Średni
Ilość opinii:
16"
379,Militarny Kryzys,Zamość,Escape Room Zamość,2-6 osób,80 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 379. miejsce,Możliwość płatności kartą,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .1
Obsługa:
7,3/10
Klimat:
8,3/10
Trudność wg. graczy:
Trudny
Ilość opinii:
4"
380,Projekt Z.E.U.S.,Bielsko-Biała,Konsorcjum Czasu,1-6 osób,75 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 380. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
6"
381,Saloon,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,20 opinii,Polska: 381. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .4
Obsługa:
8,7/10
Klimat:
7,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
20"
382,Misja A.V.A.T.A.R,Kraków,Locked UP,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 382. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .7
Obsługa:
9,3/10
Klimat:
6,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
8"
383,Rytuał,Kielce,Unlock the door,2-4 osoby,50 minut,Thriller,początkujący,2 opinie,Polska: 383. miejsce,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"10
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Średni
Ilość opinii:
2"
384,Poza Światem,Warszawa,Dom Zagadek,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,34 opinie,Polska: 384. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"6 .9
Obsługa:
8,6/10
Klimat:
7,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
34"
385,Czarna Perła,Gorzów Wielkopolski,Open The Lock,2-5 osób,60 minut,Przygodowy,na pierwszy raz,21 opinii,Polska: 385. miejsce,Przyjazny dzieciom,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"6 .9
Obsługa:
4,9/10
Klimat:
7,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
21"
386,P@ssWord,Warszawa,Dom Zagadek,2-6 osób,60 minut,Abstrakcyjny,początkujący,16 opinii,Polska: 386. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .1
Obsługa:
9,2/10
Klimat:
7,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
16"
387,Klątwa Tutenchamona,Warszawa,Zagadkownia,2-6 osób,60 minut,Przygodowy,doświadczony,192 opinie,Polska: 387. miejsce,Przyjazny niepełnosprawnym,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .0
Obsługa:
9,2/10
Klimat:
7,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
192"
388,Gra Miejska - Illuminati,Poznań,Escapelandia,2-6 osób,180 minut,Fabularny,początkujący,6 opinii,Polska: 388. miejsce,Pełen kontakt z mistrzem gry,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .0
Obsługa:
10/10
Klimat:
8,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
6"
389,Ostatnia cela,Słupsk,TrapRooms,2-8 osób,60 minut,Kryminalny,śr. zaawansowani,39 opinii,Polska: 389. miejsce,Przyjazny niepełnosprawnym,Gra bez aktora,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .4
Obsługa:
9,3/10
Klimat:
7,5/10
Trudność wg. graczy:
Średni
Ilość opinii:
39"
390,Guantanamo,Gorzów Wielkopolski,Open The Lock,2-5 osób,60 minut,Kryminalny,doświadczony,18 opinii,Polska: 390. miejsce,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .2
Obsługa:
5,9/10
Klimat:
7,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
18"
391,Agent FBI,Warszawa,SHOW ESCAPE,2-4 osoby,60 minut,Kryminalny,doświadczony,7 opinii,Polska: 391. miejsce,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"6 .0
Obsługa:
10/10
Klimat:
6,7/10
Trudność wg. graczy:
Bardzo trudny
Ilość opinii:
7"
392,Piaski Pustyni,Konin,Next Level,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,3 opinie,Polska: 393. miejsce,Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .6
Obsługa:
9,9/10
Klimat:
9,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
3"
393,Leśne Trolle,Szczecin,Warsztatownia,2-6 osób,60 minut,Przygodowy,początkujący,8 opinii,Polska: 392. miejsce,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .2
Obsługa:
6,6/10
Klimat:
10/10
Trudność wg. graczy:
Łatwy
Ilość opinii:
8"
394,Przygody Indiana Jones,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,3-7 osób,60 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 395. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .8
Obsługa:
9,4/10
Klimat:
7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
7"
395,Skarby Majów,Poznań,Key To Be Free,2-8 osób,60 minut,Przygodowy,początkujący,106 opinii,Polska: 394. miejsce,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"6 .7
Obsługa:
9,7/10
Klimat:
6,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
106"
396,Opuszczona Piwnica,Gorzów Wielkopolski,Open The Lock,2-4 osoby,60 minut,Thriller,śr. zaawansowani,14 opinii,Polska: 396. miejsce,Od 18 lat,Nieodpowiednie dla osób z klaustrofobią,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .7
Obsługa:
5,7/10
Klimat:
7,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
14"
397,Kryptonim Dżungla,Opole,Escape Room Chata Zagadek,2-5 osób,60 minut,Przygodowy,na pierwszy raz,7 opinii,Polska: 397. miejsce,Przyjazny dzieciom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .3
Obsługa:
9,5/10
Klimat:
8,4/10
Trudność wg. graczy:
Średni
Ilość opinii:
7"
398,Zielona Mila,Warszawa,SHOW ESCAPE,2-12 osób,60 minut,Przygodowy,doświadczony,9 opinii,Polska: 398. miejsce,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"7 .7
Obsługa:
9,6/10
Klimat:
9/10
Trudność wg. graczy:
Średni
Ilość opinii:
9"
399,Redrum,Żory,Open The Lock,2-5 osób,60 minut,Horror,śr. zaawansowani,29 opinii,Polska: 399. miejsce,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"6 .3
Obsługa:
6/10
Klimat:
7,5/10
Trudność wg. graczy:
Trudny
Ilość opinii:
29"
400,Łowca Umysłów,Giżycko,Pokoje zagadek,2-5 osób,60 minut,Thriller,śr. zaawansowani,6 opinii,Polska: 400. miejsce,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"8 .4
Obsługa:
8,8/10
Klimat:
8,2/10
Trudność wg. graczy:
Trudny
Ilość opinii:
6"
